# timestamp error(m)
67.407000000 0.004761001
67.504000000 0.002977615
67.595000000 0.030033220
67.695000000 0.044921112
67.803000000 0.034420273
67.900000000 0.017176051
68.001000000 0.027087258
68.093000000 0.035977242
68.208000000 0.045761921
68.295000000 0.032542151
68.400000000 0.026431173
68.505000000 0.022689817
68.602000000 0.041355663
68.695000000 0.033005358
68.806000000 0.028597651
68.896000000 0.011008997
68.998000000 0.015082162
69.105000000 0.021863384
69.200000000 0.036393226
69.300000000 0.025379042
69.396000000 0.033874415
69.496000000 0.021217097
69.601000000 0.010728283
69.701000000 0.026444047
69.796000000 0.033643273
69.900000000 0.045748379
70.000000000 0.049837692
70.097000000 0.054041368
70.197000000 0.078476647
70.301000000 0.053234148
70.405000000 0.051374166
70.510000000 0.057457102
70.595000000 0.039905334
70.694000000 0.019499467
70.806000000 0.039586885
70.894000000 0.032205534
70.999000000 0.036853529
71.096000000 0.039655769
71.204000000 0.025137151
71.305000000 0.029418701
71.405000000 0.023576249
71.503000000 0.033777268
71.596000000 0.032760924
71.701000000 0.041923144
71.803000000 0.042368999
71.903000000 0.020046484
71.995000000 0.037337484
72.094000000 0.022319984
72.203000000 0.017581387
72.295000000 0.018952813
72.401000000 0.049859676
72.497000000 0.049592757
72.594000000 0.033218261
72.695000000 0.021481215
72.805000000 0.023506636
72.899000000 0.020951798
72.998000000 0.044267136
73.100000000 0.033814483
73.205000000 0.037662152
73.300000000 0.060171238
73.395000000 0.050400013
73.500000000 0.046212843
73.605000000 0.036524661
73.706000000 0.033446053
73.805000000 0.020005182
73.899000000 0.019407311
74.000000000 0.041307966
74.099000000 0.052522011
74.207000000 0.059416647
74.304000000 0.045726175
74.397000000 0.032314579
74.502000000 0.040058129
74.600000000 0.032678193
74.706000000 0.022857203
74.799000000 0.026276012
74.908000000 0.037506115
74.998000000 0.060361370
75.105000000 0.053843507
75.198000000 0.059960734
75.304000000 0.066516916
75.403000000 0.048420265
75.501000000 0.052121104
75.597000000 0.026714298
75.705000000 0.034641113
75.801000000 0.041538362
75.898000000 0.032803783
75.995000000 0.053676716
76.103000000 0.050103048
76.202000000 0.045356296
76.304000000 0.058735209
76.397000000 0.039074982
76.495000000 0.026675050
76.596000000 0.039878654
76.701000000 0.051528029
76.803000000 0.056929505
76.904000000 0.071018028
77.003000000 0.070331728
77.097000000 0.023712794
77.203000000 0.016572012
77.298000000 0.028127183
77.396000000 0.038160125
77.506000000 0.034004360
77.603000000 0.036413780
77.694000000 0.021405669
77.806000000 0.021783268
77.901000000 0.032651879
78.005000000 0.021805801
78.104000000 0.046578952
78.205000000 0.063602207
78.305000000 0.074696398
78.404000000 0.075599353
78.505000000 0.059174879
78.604000000 0.049300545
78.694000000 0.034956585
78.793000000 0.057074882
78.904000000 0.062669874
79.000000000 0.058563012
79.103000000 0.015969080
79.196000000 0.027238990
79.296000000 0.022513656
79.397000000 0.051984506
79.504000000 0.047459384
79.596000000 0.041765174
79.705000000 0.059854125
79.809000000 0.039974742
79.899000000 0.034904407
80.004000000 0.055580735
80.094000000 0.047279472
80.200000000 0.061522923
80.303000000 0.071905268
80.398000000 0.058776483
80.501000000 0.065446953
80.606000000 0.092304061
80.700000000 0.046335081
80.799000000 0.046591167
80.900000000 0.048221643
81.004000000 0.025015534
81.095000000 0.016064503
81.199000000 0.041926991
81.301000000 0.018784865
81.396000000 0.042636639
81.503000000 0.046875709
81.599000000 0.057233114
81.700000000 0.051930897
81.803000000 0.072876939
81.904000000 0.030286203
81.999000000 0.019952868
82.104000000 0.034409579
82.196000000 0.044985975
82.305000000 0.039949374
82.397000000 0.076921683
82.496000000 0.044104242
82.600000000 0.050249216
82.697000000 0.039791978
82.801000000 0.045448219
82.896000000 0.043448999
83.003000000 0.039828295
83.105000000 0.019738043
83.198000000 0.024789827
83.311000000 0.008601982
83.396000000 0.041656648
83.494000000 0.025807296
83.600000000 0.037082095
83.700000000 0.035756683
83.800000000 0.044328304
83.900000000 0.020839361
83.999000000 0.037936812
84.095000000 0.021555940
84.201000000 0.043919668
84.303000000 0.039689275
84.404000000 0.021472848
84.499000000 0.041731137
84.604000000 0.052851046
84.707000000 0.027430803
84.796000000 0.060450225
84.900000000 0.031449151
85.004000000 0.038385414
85.101000000 0.041344746
85.197000000 0.040288464
85.295000000 0.044311418
85.396000000 0.031391218
85.502000000 0.027068503
85.597000000 0.016319116
85.702000000 0.024128982
85.801000000 0.039523127
85.905000000 0.033000243
86.003000000 0.034534700
86.102000000 0.052841151
86.207000000 0.045809240
86.296000000 0.038470859
86.396000000 0.032072744
86.493000000 0.035852862
86.601000000 0.036913728
86.701000000 0.010151344
86.802000000 0.030070852
86.903000000 0.015718013
87.001000000 0.038019471
87.101000000 0.032327038
87.203000000 0.018621411
87.299000000 0.026514873
87.401000000 0.011931842
87.495000000 0.022953822
87.597000000 0.017193369
87.700000000 0.031374699
87.800000000 0.021985972
87.894000000 0.038483884
